Phase,Week,Week_num,WeekStartDate,WeekEndDate,Stratum,NumOfSites,NumOfTows,RawCatch,TotalRawSampleVolume,AdjCatch,TotalEffSampleVolume,StratumVolume,nHat,nVar,nSE,lowCI,uppCI,SpatialCoverage
17_3,Week.2,2,2017-07-10,2017-07-14,Western Delta,2,12,0,62817.82496,0,45368.42914,279273078,0,NA,NA,NA,NA,
17_3,Week.2,2,2017-07-10,2017-07-14,Suisun Bay Marsh,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_3,Week.2,2,2017-07-10,2017-07-14,Lower Sacramento,2,10,0,20225.64796,0,14607.41242,117440529,0,NA,NA,NA,NA,
17_3,Week.2,2,2017-07-10,2017-07-14,Cache Slough LI,2,7,25,10323.27262,25,7455.696895,51786023,416180.9008,1.27E+11,356551.284,73834,1352904,
17_3,Week.2,2,2017-07-10,2017-07-14,Sac DW Ship Channel,2,7,7,10193.86946,7,7362.239051,14472933,30847.49217,611956596.4,24737.7565,6047,95768,
17_3,Week.2,2,2017-07-10,2017-07-14,Upper Sacramento,2,16,0,57880.28528,0,41802.42826,50673600,0,NA,NA,NA,NA,
17_3,Week.2,2,2017-07-10,2017-07-14,Lower San Joaquin,4,20,0,37240.1428,0,26895.65869,109289061,0,NA,NA,NA,NA,
17_3,Week.2,2,2017-07-10,2017-07-14,Southern Delta,6,45,0,184583.8483,0,133310.5571,255069170,0,NA,NA,NA,NA,
17_3,Week.2,2,2017-07-10,2017-07-14,Total,20,117,32,383264.8914,32,276802.4216,NA,447028.393,1.28E+11,357408.4144,88025,1384909,Partial
17_3,Week.3,3,2017-07-17,2017-07-21,Western Delta,4,32,0,120387.7448,0,86946.7046,279273078,0,NA,NA,NA,NA,
17_3,Week.3,3,2017-07-17,2017-07-21,Suisun Bay Marsh,2,7,10,13558.01487,10,9791.899628,220105238,369781.0639,1.22E+11,348996.3509,56271,1285215,
17_3,Week.3,3,2017-07-17,2017-07-21,Lower Sacramento,2,9,0,14551.79077,0,10509.62667,117440529,0,NA,NA,NA,NA,
17_3,Week.3,3,2017-07-17,2017-07-21,Cache Slough LI,2,4,27,5116.816985,27,3695.478934,51786023,906217.3578,4.41E+11,664078.3339,202225,2642146,
17_3,Week.3,3,2017-07-17,2017-07-21,Sac DW Ship Channel,2,6,40,8721.23443,40,6298.66931,14472933,395477.4656,81783108483,285977.4615,89896,1142439,
17_3,Week.3,3,2017-07-17,2017-07-21,Upper Sacramento,2,16,0,53937.19548,0,38954.64118,50673600,0,NA,NA,NA,NA,
17_3,Week.3,3,2017-07-17,2017-07-21,Lower San Joaquin,4,20,0,40020.626,0,28903.78544,109289061,0,NA,NA,NA,NA,
17_3,Week.3,3,2017-07-17,2017-07-21,Southern Delta,6,48,0,199987.2063,0,144435.2046,255069170,0,NA,NA,NA,NA,
17_3,Week.3,3,2017-07-17,2017-07-21,Total,24,142,77,456280.6297,77,329536.0103,NA,1671475.887,6.45E+11,802858.3903,616866,3680033,Full
17_3,Week.4,4,2017-07-24,2017-07-28,Western Delta,4,26,2,116911.7196,2,84436.24193,279273078,33263.80539,1383428353,37194.4667,3795,129549,
17_3,Week.4,4,2017-07-24,2017-07-28,Suisun Bay Marsh,2,10,2,18635.40433,2,13458.90312,220105238,32715.41496,1629713719,40369.71289,3126,135713,
17_3,Week.4,4,2017-07-24,2017-07-28,Lower Sacramento,2,11,0,23194.84412,0,16751.83186,117440529,0,NA,NA,NA,NA,
17_3,Week.4,4,2017-07-24,2017-07-28,Cache Slough LI,2,9,0,16139.67549,0,11656.4323,51786023,0,NA,NA,NA,NA,
17_3,Week.4,4,2017-07-24,2017-07-28,Sac DW Ship Channel,2,2,62,2659.504719,62,1920.753408,14472933,467168.1562,3646297535,60384.58028,360004,596270,
17_3,Week.4,4,2017-07-24,2017-07-28,Upper Sacramento,2,16,0,62158.67757,0,44892.37824,50673600,0,NA,NA,NA,NA,
17_3,Week.4,4,2017-07-24,2017-07-28,Lower San Joaquin,4,20,0,49622.74554,0,35838.64956,109289061,0,NA,NA,NA,NA,
17_3,Week.4,4,2017-07-24,2017-07-28,Southern Delta,6,45,0,187128.1996,0,135148.1442,255069170,0,NA,NA,NA,NA,
17_3,Week.4,4,2017-07-24,2017-07-28,Total,24,139,66,476450.771,66,344103.3346,NA,533147.3765,6659439608,81605.38958,391097,710154,Full
17_3,Week.5,5,2017-07-31,2017-08-04,Western Delta,8,52,8,265006.5701,8,191393.634,279273078,42241.50615,901231772.2,30020.52252,9833,120566,
17_3,Week.5,5,2017-07-31,2017-08-04,Suisun Bay Marsh,5,15,4,29563.90636,4,21351.71015,220105238,62551.8351,1975889618,44450.97995,14563,178526,
17_3,Week.5,5,2017-07-31,2017-08-04,Lower Sacramento,2,7,1,12931.13402,1,9339.152348,117440529,12630.90787,188326648.8,13723.21569,1516,48272,
17_3,Week.5,5,2017-07-31,2017-08-04,Cache Slough LI,2,10,0,15046.15132,0,10866.66484,51786023,0,NA,NA,NA,NA,
17_3,Week.5,5,2017-07-31,2017-08-04,Sac DW Ship Channel,2,7,2,13950.26823,2,10075.19372,14472933,6184.103137,38485404.96,6203.66061,851,22406,
17_3,Week.5,5,2017-07-31,2017-08-04,Upper Sacramento,2,16,0,52468.60431,0,37893.992,50673600,0,NA,NA,NA,NA,
17_3,Week.5,5,2017-07-31,2017-08-04,Lower San Joaquin,4,19,0,32335.2909,0,23353.26565,109289061,0,NA,NA,NA,NA,
17_3,Week.5,5,2017-07-31,2017-08-04,Southern Delta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_3,Week.5,5,2017-07-31,2017-08-04,Total,25,126,15,421301.9252,15,304273.6127,NA,123608.3523,3103933444,55712.9558,48510,261787,Partial
17_3,Week.6,6,2017-08-07,2017-08-11,Western Delta,6,43,1,201699.7764,1,145672.0607,279273078,1919.016837,3695759.853,1922.435916,265,6946,
17_3,Week.6,6,2017-08-07,2017-08-11,Suisun Bay Marsh,4,15,3,30983.63436,3,22377.06926,220105238,36061.03776,1029564166,32086.82231,6031,120346,
17_3,Week.6,6,2017-08-07,2017-08-11,Lower Sacramento,2,10,0,19213.67474,0,13876.54287,117440529,0,NA,NA,NA,NA,
17_3,Week.6,6,2017-08-07,2017-08-11,Cache Slough LI,2,7,1,11903.40664,1,8596.904793,51786023,9294.024823,191732352.2,13846.74518,622,43125,
17_3,Week.6,6,2017-08-07,2017-08-11,Sac DW Ship Channel,2,10,0,15586.00516,0,11256.55928,14472933,0,NA,NA,NA,NA,
17_3,Week.6,6,2017-08-07,2017-08-11,Upper Sacramento,2,16,0,68333.63505,0,49352.06976,50673600,0,NA,NA,NA,NA,
17_3,Week.6,6,2017-08-07,2017-08-11,Lower San Joaquin,5,19,2,41841.36903,2,30218.76652,109289061,14794.52246,224780213.9,14992.67201,2001,53971,
17_3,Week.6,6,2017-08-07,2017-08-11,Southern Delta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
